"uf","ano","nascidos"
"RO","2010","25835"
"RO","2011","27658"
"RO","2012","26513"
"RO","2013","27097"
"RO","2014","27560"
"RO","2015","27918"
"RO","2016","26602"
"RO","2017","27503"
"RO","2018","28091"
"RO","2019","27028"
"RO","2020","25798"
"RO","2021","25439"
"AC","2010","16495"
"AC","2011","17817"
"AC","2012","16700"
"AC","2013","17075"
"AC","2014","17139"
"AC","2015","16980"
"AC","2016","15773"
"AC","2017","16358"
"AC","2018","16543"
"AC","2019","16280"
"AC","2020","15142"
"AC","2021","15699"
"AM","2010","74188"
"AM","2011","76202"
"AM","2012","77434"
"AM","2013","79041"
"AM","2014","81145"
"AM","2015","80097"
"AM","2016","76703"
"AM","2017","78066"
"AM","2018","78087"
"AM","2019","77622"
"AM","2020","75635"
"AM","2021","78454"
"RR","2010","9738"
"RR","2011","9945"
"RR","2012","10601"
"RR","2013","10814"
"RR","2014","11120"
"RR","2015","11412"
"RR","2016","11376"
"RR","2017","11737"
"RR","2018","13344"
"RR","2019","14620"
"RR","2020","13760"
"RR","2021","13901"
"PA","2010","140687"
"PA","2011","141974"
"PA","2012","137837"
"PA","2013","139416"
"PA","2014","143503"
"PA","2015","143657"
"PA","2016","137681"
"PA","2017","138684"
"PA","2018","141819"
"PA","2019","138341"
"PA","2020","132938"
"PA","2021","137129"
"AP","2010","15008"
"AP","2011","15114"
"AP","2012","14895"
"AP","2013","15710"
"AP","2014","16271"
"AP","2015","15750"
"AP","2016","15521"
"AP","2017","15399"
"AP","2018","15864"
"AP","2019","15356"
"AP","2020","14633"
"AP","2021","14993"
"TO","2010","24471"
"TO","2011","25035"
"TO","2012","24395"
"TO","2013","24119"
"TO","2014","24944"
"TO","2015","25110"
"TO","2016","23870"
"TO","2017","24935"
"TO","2018","25480"
"TO","2019","24449"
"TO","2020","23729"
"TO","2021","23747"
"MA","2010","119566"
"MA","2011","121109"
"MA","2012","116039"
"MA","2013","115000"
"MA","2014","117071"
"MA","2015","117564"
"MA","2016","110493"
"MA","2017","112985"
"MA","2018","117156"
"MA","2019","113317"
"MA","2020","106079"
"MA","2021","108667"
"PI","2010","49424"
"PI","2011","50144"
"PI","2012","47962"
"PI","2013","46419"
"PI","2014","47941"
"PI","2015","49253"
"PI","2016","46986"
"PI","2017","48551"
"PI","2018","49490"
"PI","2019","47933"
"PI","2020","45229"
"PI","2021","45978"
"CE","2010","128831"
"CE","2011","128592"
"CE","2012","126868"
"CE","2013","124876"
"CE","2014","128681"
"CE","2015","132516"
"CE","2016","126246"
"CE","2017","127797"
"CE","2018","131491"
"CE","2019","129185"
"CE","2020","121904"
"CE","2021","120266"
"RN","2010","47668"
"RN","2011","48101"
"RN","2012","46993"
"RN","2013","46798"
"RN","2014","48111"
"RN","2015","49099"
"RN","2016","45366"
"RN","2017","46222"
"RN","2018","48107"
"RN","2019","44031"
"RN","2020","43531"
"RN","2021","43430"
"PB","2010","58699"
"PB","2011","58741"
"PB","2012","56770"
"PB","2013","56854"
"PB","2014","57535"
"PB","2015","59089"
"PB","2016","56083"
"PB","2017","57493"
"PB","2018","60205"
"PB","2019","57701"
"PB","2020","56379"
"PB","2021","56049"
"PE","2010","136591"
"PE","2011","140079"
"PE","2012","141382"
"PE","2013","141453"
"PE","2014","143489"
"PE","2015","145024"
"PE","2016","130733"
"PE","2017","135932"
"PE","2018","138317"
"PE","2019","133359"
"PE","2020","128481"
"PE","2021","126211"
"AL","2010","54164"
"AL","2011","54281"
"AL","2012","52510"
"AL","2013","52488"
"AL","2014","51859"
"AL","2015","52257"
"AL","2016","48164"
"AL","2017","50368"
"AL","2018","52496"
"AL","2019","49803"
"AL","2020","48341"
"AL","2021","48808"
"SE","2010","34016"
"SE","2011","34925"
"SE","2012","34108"
"SE","2013","34228"
"SE","2014","34369"
"SE","2015","34917"
"SE","2016","32218"
"SE","2017","33867"
"SE","2018","34256"
"SE","2019","32697"
"SE","2020","31784"
"SE","2021","31206"
"BA","2010","212201"
"BA","2011","215032"
"BA","2012","209999"
"BA","2013","203342"
"BA","2014","204034"
"BA","2015","206655"
"BA","2016","199830"
"BA","2017","204096"
"BA","2018","205332"
"BA","2019","197249"
"BA","2020","188960"
"BA","2021","185459"
"MG","2010","255126"
"MG","2011","259863"
"MG","2012","260544"
"MG","2013","258635"
"MG","2014","267130"
"MG","2015","268305"
"MG","2016","253520"
"MG","2017","260959"
"MG","2018","263640"
"MG","2019","256892"
"MG","2020","247198"
"MG","2021","242136"
"ES","2010","51853"
"ES","2011","53053"
"ES","2012","52835"
"ES","2013","54065"
"ES","2014","56548"
"ES","2015","56941"
"ES","2016","53413"
"ES","2017","55846"
"ES","2018","56721"
"ES","2019","54925"
"ES","2020","53767"
"ES","2021","52493"
"RJ","2010","215262"
"RJ","2011","220603"
"RJ","2012","222859"
"RJ","2013","224031"
"RJ","2014","233584"
"RJ","2015","236960"
"RJ","2016","219129"
"RJ","2017","223224"
"RJ","2018","220499"
"RJ","2019","207989"
"RJ","2020","199124"
"RJ","2021","189866"
"SP","2010","601352"
"SP","2011","610222"
"SP","2012","616608"
"SP","2013","610896"
"SP","2014","625687"
"SP","2015","634026"
"SP","2016","601437"
"SP","2017","611803"
"SP","2018","606146"
"SP","2019","583191"
"SP","2020","552310"
"SP","2021","525239"
"PR","2010","152051"
"PR","2011","152902"
"PR","2012","153945"
"PR","2013","155758"
"PR","2014","159915"
"PR","2015","160947"
"PR","2016","155066"
"PR","2017","157701"
"PR","2018","156201"
"PR","2019","153469"
"PR","2020","146291"
"PR","2021","141976"
"SC","2010","84611"
"SC","2011","87481"
"SC","2012","88772"
"SC","2013","89875"
"SC","2014","93232"
"SC","2015","97223"
"SC","2016","95313"
"SC","2017","98335"
"SC","2018","99609"
"SC","2019","98032"
"SC","2020","97916"
"SC","2021","96499"
"RS","2010","133243"
"RS","2011","137710"
"RS","2012","138941"
"RS","2013","141350"
"RS","2014","143315"
"RS","2015","148359"
"RS","2016","141411"
"RS","2017","141568"
"RS","2018","140047"
"RS","2019","134596"
"RS","2020","130742"
"RS","2021","124446"
"MS","2010","40132"
"MS","2011","42152"
"MS","2012","42252"
"MS","2013","42296"
"MS","2014","44058"
"MS","2015","44142"
"MS","2016","42432"
"MS","2017","44747"
"MS","2018","44275"
"MS","2019","43695"
"MS","2020","41308"
"MS","2021","42173"
"MT","2010","48929"
"MT","2011","51218"
"MT","2012","51256"
"MT","2013","53039"
"MT","2014","56499"
"MT","2015","56673"
"MT","2016","53531"
"MT","2017","57271"
"MT","2018","58649"
"MT","2019","58852"
"MT","2020","57037"
"MT","2021","57841"
"GO","2010","87476"
"GO","2011","89742"
"GO","2012","93274"
"GO","2013","94822"
"GO","2014","99798"
"GO","2015","100672"
"GO","2016","95563"
"GO","2017","97520"
"GO","2018","98872"
"GO","2019","96112"
"GO","2020","92768"
"GO","2021","90961"
"DF","2010","44251"
"DF","2011","43465"
"DF","2012","43497"
"DF","2013","44530"
"DF","2014","44721"
"DF","2015","46122"
"DF","2016","43340"
"DF","2017","44568"
"DF","2018","44195"
"DF","2019","42422"
"DF","2020","39361"
"DF","2021","38035"
